submissionid,ma_id,48_enforcement_participation
9441b1aa-2d98-4bcf-be8b-54095b2f30b2,171,No
81471765-316d-4c7e-9373-2f97e7b7c26c,165,No
c3c5aa11-322b-46b4-9528-2826ea262a82,165,No
6df2dc9f-1464-4222-8afc-2e7842aae42f,171,No
507c9654-0f87-4050-90b5-b8b92f452f31,171,No
1e01826b-9ba2-4e8e-95e3-44b2d436cd1d,171,No
74709b5d-6820-4766-b13e-ac4a5f8ca33d,171,No
64185227-dd81-4af4-aed9-94dcb9cb9eec,171,No
ba308a81-5afc-48ce-9d66-03ac38611cdb,165,No
0fbcc779-a2ac-4ff6-9509-765e13346007,171,No
dec4b2dc-f45b-4fe2-bcac-5cb807ee32ab,171,No
d40c5d9f-9910-4bc0-933b-6873a2934d18,171,No
19513fff-935e-4123-86a7-2c24d4833b27,165,No
27e3071e-4de8-4d29-8437-01b2278594f9,165,No
5d9e9e48-531b-4d9e-8b63-9561ed650862,165,No
2a886576-669a-4838-a771-01400eb1a85f,171,Not sure
fa338450-be45-4aa6-bd1d-16ccc4230e69,171,No
a6bcbf6f-c150-4b8b-8812-7414d07ffd0d,171,No
9d598676-3211-409d-9a6e-fba0d53de40d,165,No enforcement system
d0c27ca5-ec69-43e8-9be8-e65bf268b651,165,No
6e6edfbf-f930-4612-8ce3-ca45f5abc7a1,165,No
85e8ca02-b217-484e-a1df-4c20e672261d,165,No
c692963f-ebd9-4de2-9729-b94c6c3b614e,165,No
5802bca1-baa7-4bd8-b3ce-4b02832be0c9,165,No
a92d8193-a60c-4bcb-8c46-b68d6fec9799,165,No
ece90540-a294-44fc-aabb-48c7c9ea2f92,165,No enforcement system
2172f494-018d-462d-b661-67d984d80bc1,164,Yes female
e621c08e-5dcb-4c5e-94c0-605efa1009e7,164,No
aedf3b4c-1285-4800-89aa-ca543c576e27,164,No
a64b2796-8a20-4927-85c2-116a3a569002,164,No
6fa53c66-c5e1-44e1-8cf5-84a03ff934dd,164,No
1fd384b0-3cbf-4da2-b5ce-d947b37d587e,164,No
878dbda2-2411-4133-82ea-8c69211e0eeb,164,No
654e2aa9-001d-49b0-af68-fbac1b3ac94c,164,No
08701cf0-8a12-4957-a396-19ef91868b4b,164,No
78070771-dacc-421f-b3da-5ec189b6461b,164,No
6a75fdec-7c3e-49e1-a156-fdccf2858a9e,164,No
6e7cc550-21c1-43f5-b518-b75ec805906c,164,No
2fcbdcf4-96a1-40cd-8446-2115b9aea0e7,164,No
e5154b94-4e48-4c23-8bf3-1321e8faf83d,164,Yes male
2558a59c-196b-4c15-a73e-26d54770fb33,164,No
9b6c4e82-d05d-4f15-9af6-1bed37023eba,173,No
db62ce08-96f3-44da-ab5c-0730e58b7080,173,No
5ac440f9-360d-4287-9adf-b5f4d4585381,173,No
77d9e2c5-d733-452c-823d-3f17334b464a,173,No
0a5d4bfc-35f6-4a3b-a7e4-d7fc2299e229,173,No
32381817-f1ab-4c52-9c43-69fbbd5cca7f,173,Yes female
e1a258c2-e76a-45a5-aacf-ef08347761f3,173,No
1af4a372-e292-4bd0-bed3-21c5616180a4,173,No
98050631-8260-4628-b68d-cf2b91bcac79,173,Yes male
1a411d6b-a52b-448c-b90e-531fd89bb75f,173,No
c046b9dd-70a2-4e4f-9316-4b77f9f11380,173,No
b70326d1-6f88-49a2-bf76-6d0f2f56ec0e,173,No
658f5e29-009b-4674-bc5a-91782f9b1438,173,No
7cd50bcf-6770-4b20-bb00-8faa240096db,172,No
a418bac3-7477-485b-b51c-bfb4755f6b20,172,Not sure
4ff8248e-c412-4e95-890e-867d08374cbe,172,No
a386ee80-a82b-431c-8557-d499e214cb20,172,No
58872c42-efc4-44ed-b443-3275eb8da4c5,172,No
e210dace-5b15-41df-99dc-27da7303180d,172,No
577fa900-2ebb-40ba-a547-2cb96d81e58a,172,No
