submissionid,ma_id,69_fish_type,69_street,69_customer_home,69_market,69_shop,69_fishing_company,69_restaurant,69_own_home,69_other
a8037b09-9814-4a2f-a517-415ef27a90e9,173,peixe piaba(cambada),15,,,,,,,
f1f3a9cb-55f4-4ddc-bfed-33dcac1a738b,173,jurupiranga,,,,,,,,10
679476d1-2fa0-4928-af9a-985b44e05a17,173,pescada branca,,,,,,,,9
e8ed9eaa-d8d6-4ca7-ab4f-2069d20b18de,173,peixe,15,,,,,,,
105d5dc1-7b28-49e0-886e-58b9ec0dc076,173,cangatá jurupiranga (cambada),25,,,,,,,
25ab393f-317f-423f-8452-c54b7d108310,172,,,,,,,,,
4dc3217a-cc87-4109-9076-1e319a39f5d2,172,caranguejo (centro),,,,,,,,
68c3567f-bd51-4636-a83c-aa3a13ca78da,172,caranguejo ,,,,,,,50,
c8b9e1bc-a4b2-4789-b42d-d5de77c0a9fa,172,pratiqueira,,8,,,,,,
c707d3cc-ff80-45fe-901e-09861625b360,172,pratiqueira ,6,,,,,,,
79a5cbc5-1c6c-4c3d-9366-931422162e88,172,Bagri ,,,,,,,5,
684d6c3b-f865-4204-a1d8-4f4dc0042626,172,Bagri,,,,,,,5,
b681c781-14d5-4fd4-9cd6-98865caa664b,172,caranguejo (saca),,,,,,,,100
f0dfa0fc-cc58-4ff1-b345-6537389d883a,172,caranguejo,,,,,,,,1
b766702d-1ecc-488f-822a-b140416ed567,172,"siri, centro",,,,,,,,70
0476ba26-92dc-4e35-aa9d-5e65c7fef40a,172,caranguejo,,,,,,,,1
002a1b19-828d-44c1-9edf-e005e1d81cd7,172,Caranguejo (saca),,80,,,,,,
015ee1ff-3178-4c54-92d5-89cedc8b0868,171,Caranguejo (saca),,,70,,,,,
4fd56384-728e-4c63-b01d-1270c2cc091f,171,Pratiqueira,,,,,,,5,
9f1cfa03-4152-4743-9274-0c03aac15f18,171,Caranguejo (saca),,,,,,,50,
03dd3cfe-be9d-461b-b91d-62e95d61d730,171,,,,,,,,,
8cd01ae3-22a9-4744-90a0-551c2a96d560,165,Camarão,,,,,,,,20
d8f98769-9207-4a33-9b57-7d64ccfb74c2,165,caranguejo,,,,,,,,1
b35c400b-fccf-4d83-aa67-0903478ca722,165,Gó,,,,,,,,4
005c4863-fd79-4417-9aa9-ce36037741f4,171,Camarão,,,,,,,,20
50d9feea-cec9-42f5-bc4e-48761dad4cb7,171,Piaba,,,,,,,,5
d18c32cf-f2ef-4779-a2c9-aec446c740f4,171,peixe pescada,,,,,,,,
ee97aac9-e7a5-43a0-9715-6932a26ff74c,171,caranguejo (massa),,,,,,,35,
50437a70-a86b-4716-887f-5cda547a2de2,171,peixe corvina,,,,,,,,
ea4144a4-1a23-473e-8a7b-286055d48467,171,peixe xaréu,,,,,,,,
e2d3ba04-e71e-4002-a458-31c13a683f63,165,bagre kg,,,,,,,5,
ef46f628-0360-4926-b6f3-a28eb3307f5c,171,bagre kg,,,,,,,4,
01dc96d6-1e45-403d-b2bd-ad1d65cb6c24,171,caranguejo(centro),,,70,,,,,
e837ebe5-bf90-4682-94c2-4670580bfec6,171,camarao kg,,10,,,,,,
63166451-4138-4e41-bb2d-3c0014e44b47,171,pescada kg,,,,,14,,,
c43b01ec-7906-4b93-95d6-8de2fc627f3d,171,pescadinha kg,,,,,8,,,
ea14c800-21c2-41d8-86d7-2ec43a8bd524,171,Gurijuba ,,,,,,,,10
893535fb-33a4-45a2-a747-9bfefe7ef646,171,pescada,15,,,,,,,
e1edfc04-fd81-4a76-a8a1-441230e765ac,171,pescada ,,,,,10,,,
35695a8c-cd72-4a09-b962-07b05a6ab0e1,171,caranguejo ,,,,,,,,80
8e4656ed-e40e-4ff6-87b9-8a4f339d229c,171,caranguejo(unidade),,,,,,,250,
a82e752f-3d57-4158-a8b8-95e3d65485c6,171,pescada,,,2000,,,,,
b335c784-c830-47f3-9d33-a5f59ba7ed87,171,,,,,,,,,
1f1e3029-e01d-4786-8ee5-eaad52fd2547,171,"pratiqueira, bagri",,,30,,,,,
600efe68-f5fe-4c1b-8de9-d54fb99a86a4,171,"camurim, tainha,etc.",,,500,,,,,
