country,level1_name,level2_name,level3_name,level4_name,level4_id,lat,lon,ma_name,3_community,submissionid,45_leadership_position
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,112754e5-908e-4316-8a23-8134bc97b6dc,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,112754e5-908e-4316-8a23-8134bc97b6dc,No
PHL,Caraga,Surigao del Norte,Pilar Siargao,Consolacion,2280,9.901661,126.085502,SDN_Pilar,Consolacion,112754e5-908e-4316-8a23-8134bc97b6dc,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,0383cac7-186c-4582-9d45-e693b8a28b9c,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,0383cac7-186c-4582-9d45-e693b8a28b9c,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,0383cac7-186c-4582-9d45-e693b8a28b9c,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,2f14773b-ad91-48bd-a0b6-223232642134,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,2f14773b-ad91-48bd-a0b6-223232642134,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,2f14773b-ad91-48bd-a0b6-223232642134,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),a00734e4-c872-4508-a3b3-2b7f2f6a04f4,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),a00734e4-c872-4508-a3b3-2b7f2f6a04f4,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),a00734e4-c872-4508-a3b3-2b7f2f6a04f4,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 2 (Pob.),1738,9.761576,126.060904,SDN_Dapa,Barangay 2 (Pob.),60ba62e8-059e-489f-b6e8-f0c3f9d55494,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 2 (Pob.),1738,9.761576,126.060904,SDN_Dapa,Barangay 2 (Pob.),60ba62e8-059e-489f-b6e8-f0c3f9d55494,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 2 (Pob.),1738,9.761576,126.060904,SDN_Dapa,Barangay 2 (Pob.),60ba62e8-059e-489f-b6e8-f0c3f9d55494,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,78e14279-2797-4bf1-98e3-04a6b1dc4ff3,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,78e14279-2797-4bf1-98e3-04a6b1dc4ff3,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,78e14279-2797-4bf1-98e3-04a6b1dc4ff3,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),f8df9f27-4d08-4161-bcdf-9315f647a6b3,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),f8df9f27-4d08-4161-bcdf-9315f647a6b3,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),f8df9f27-4d08-4161-bcdf-9315f647a6b3,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,095a4ac4-cbb9-47b5-9719-79a60352423f,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,095a4ac4-cbb9-47b5-9719-79a60352423f,No
PHL,Caraga,Surigao del Norte,Dapa,Jubang,1747,9.775481,126.015072,SDN_Dapa,Jubang,095a4ac4-cbb9-47b5-9719-79a60352423f,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion II (Purok II),1781,9.788815,126.146714,SDN_GL,Poblacion II (Purok II),8271c3ad-17ac-4869-9a04-b286b01b7b2c,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion II (Purok II),1781,9.788815,126.146714,SDN_GL,Poblacion II (Purok II),8271c3ad-17ac-4869-9a04-b286b01b7b2c,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion II (Purok II),1781,9.788815,126.146714,SDN_GL,Poblacion II (Purok II),8271c3ad-17ac-4869-9a04-b286b01b7b2c,No
PHL,Caraga,Surigao del Norte,Dapa,San Carlos,1751,9.704019,125.985683,SDN_Dapa,San Carlos,be6027db-4335-4ff0-a6ed-ad34ae7eb12c,No
PHL,Caraga,Surigao del Norte,Dapa,San Carlos,1751,9.704019,125.985683,SDN_Dapa,San Carlos,be6027db-4335-4ff0-a6ed-ad34ae7eb12c,No
PHL,Caraga,Surigao del Norte,Dapa,San Carlos,1751,9.704019,125.985683,SDN_Dapa,San Carlos,be6027db-4335-4ff0-a6ed-ad34ae7eb12c,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,d6454b12-c06c-42da-a7ac-f005a61ad62d,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,d6454b12-c06c-42da-a7ac-f005a61ad62d,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,d6454b12-c06c-42da-a7ac-f005a61ad62d,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion IV (Purok IV),1783,9.797691,126.147609,SDN_GL,Poblacion IV (Purok IV),087d3a81-eeb4-4116-a4da-0d31296ef44d,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion IV (Purok IV),1783,9.797691,126.147609,SDN_GL,Poblacion IV (Purok IV),087d3a81-eeb4-4116-a4da-0d31296ef44d,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion IV (Purok IV),1783,9.797691,126.147609,SDN_GL,Poblacion IV (Purok IV),087d3a81-eeb4-4116-a4da-0d31296ef44d,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,f086fc69-8226-45ca-a280-76d7962591e8,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,f086fc69-8226-45ca-a280-76d7962591e8,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,f086fc69-8226-45ca-a280-76d7962591e8,No
